pid,median_cpu_percent,quadratic_deviation,ram_usage,median_network_rate,Number of crypto API calls,Cryptojacker or not
334,45.45625,7.616909482,1628.503906,0.0,0.0,no
159,25.1125,1.870395257,2359.992188,601.0,5.0,yes
225,50.5125,21.21916073076539,403.98828125,114.0,0.0,no
199,24.3875,5.352819266,2096.21875,601.0,3.0,yes
103,85.35,18.22621233,2362.882813,484.0,5.0,yes
285,10.275,3.836713184,330.046875,0.0,2.0,no
70,24.8,1.685333478,2363.410156,603.0,5.0,yes
149,48.0875,11.69295567,2090.671875,586.0,3.0,yes
131,11.6,7.698013034,713.5078125,4251.0,2.0,yes
186,47.7625,8.470706422,2355.429688,813.0,3.0,yes
128,60.1,13.49715663,2362.929688,753.0,5.0,yes
291,0.75,0.344286302,32.2578125,585754.0,2.0,no
317,75.4125,35.55897381,347.4882813,653.0,2.0,no
196,13.475,5.949546012,2095.589844,576.0,3.0,yes
213,28.775,13.935484881728684,373.04296875,8571.0,2.0,no
221,0.2,0.1065740339,284.3867188,1758.0,0.0,no
237,60.40625,17.897933847171604,333.421875,228.0,0.0,no
22,87.725,4.165062106,2366.3125,579.0,5.0,yes
16,88.05,2.747047015,2366.277344,532.5,5.0,yes
125,63.4875,15.081887,2362.929688,618.5,5.0,yes
320,11.5375,0.5813116581,91.1953125,0.0,2.0,no
17,88.05,2.996967668,2366.199219,540.0,5.0,yes
239,58.73125,17.10269916252011,336.51953125,228.0,0.0,no
392,3.1375,4.176004511,33.88671875,0.0,0.0,no
217,0.4125,0.1530679063377339,18.6015625,1397894.0,2.0,no
190,41.375,10.72128575,2089.660156,477.5,3.0,yes
135,10.8875,7.642936137,713.5078125,556.5,2.0,yes
301,2.575,19.93525991,275.5820313,15579.5,2.0,no
298,14.8625,4.661467993,423.9726563,0.0,1.0,no
290,1.475,0.61884469,15.12109375,0.0,2.0,no
193,44.08125,5.38192173,2090.246094,586.0,3.0,yes
380,1.8625,0.977045575,43.27734375,0.0,3.0,no
107,86.325,20.27934126,2354.050781,115.0,5.0,yes
151,45.65625,7.216172659,2089.84375,586.0,3.0,yes
19,88.05,5.053067602,2366.207031,559.5,5.0,yes
312,2.575,19.93525991,275.5820313,15579.5,2.0,no
263,58.73125,17.10269916252011,336.51953125,228.0,0.0,no
321,10.2875,0.2339070328,89.09765625,0.0,2.0,no
209,6.55,0.6861603108765613,57.66015625,21004.5,1.0,no
325,5.6625,0.8740294441,187.7304688,2093644.0,2.0,no
338,14.1875,0.708190717,348.421875,929115.0,5.0,no
374,7.30625,3.444233304,44.51953125,0.0,3.0,no
87,87.6,11.57326567,2351.519531,719.0,5.0,yes
20,87.725,3.970651885,2366.300781,1061.0,5.0,yes
75,24.375,4.980840542,2358.21875,601.0,5.0,yes
308,5.55,1.044678978,172.859375,2093644.0,2.0,no
377,1.775,0.869047211,14.62890625,0.0,2.0,no
108,86.3,19.7781881,2354.050781,115.0,5.0,yes
156,25.175,2.835638098,2294.710938,4953.5,5.0,yes
234,59.575,19.17954515250409,335.64453125,114.0,0.0,no
198,24.3875,3.161545893,2092.429688,601.0,3.0,yes
30,88.6375,3.089909154,2366.277344,581.0,5.0,yes
383,0.43125,0.20386883,237.6210938,0.0,0.0,no
150,46.53125,7.781207403,2090.667969,586.0,3.0,yes
74,24.375,5.027210432,2358.21875,601.0,5.0,yes
333,44.8125,6.675880149,1624.121094,0.0,0.0,no
295,9.26875,4.358509358,325.1757813,0.0,2.0,no
351,5.5875,2.192770189,45.68359375,0.0,3.0,no
226,78.325,18.36975357475464,388.2734375,114.0,0.0,no
356,6.175,2.026750615,44.8046875,0.0,3.0,no
54,24.35,2.007394182,2352.214844,727.0,5.0,yes
366,0.4125,0.320806276,136.8671875,0.0,5.0,no
134,10.8875,7.672458863,713.5078125,921.0,2.0,yes
163,20.65,4.554883793,2359.175781,458.0,5.0,yes
294,14.9125,4.848562026,427.9140625,0.0,2.0,no
372,0.0,0.0,324.2695313,0.0,0.0,no
